LAT,LON,YEAR,MO,DY,PRECTOTCORR,WS10M,RH2M,QV2M,T2M_RANGE,ALLSKY_SFC_UV_INDEX
25.75,86.25,2014,7,31,0.61,3.88,80.56,21.76,7.34,2.08
25.75,86.25,2014,8,1,0.09,3.19,81.38,21.45,6.38,2.18
25.75,86.25,2014,8,2,0.37,3.18,81.94,22.13,7.14,2.2
25.75,86.25,2014,8,3,3.49,2.32,82.12,22.19,7.21,2.12
25.75,86.25,2014,8,4,4.44,5.41,82.91,22.09,5.85,1.91
25.75,86.25,2014,8,5,2.38,8.77,81.91,21.18,6.94,1.87
25.75,86.25,2014,8,6,2.15,3.64,78.22,21.03,8.23,2.02
25.75,86.25,2014,8,7,3.94,1.28,77.03,21.42,6.67,1.59
25.75,86.25,2014,8,8,18.04,1.6,77.5,21.42,6.52,1.8
25.75,86.25,2014,8,9,11.07,2.51,80.72,22.03,6.64,2.1
25.75,86.25,2014,8,10,3.36,3.73,80.78,21.82,7.16,1.8
25.75,86.25,2014,8,11,4.45,3.75,81.97,22.16,6.86,1.98
25.75,86.25,2014,8,12,7.98,2.84,80.97,22.28,6.52,1.73
25.75,86.25,2014,8,13,34.48,2.93,88.66,23.01,4.6,0.49
25.75,86.25,2014,8,14,69.49,2.16,89.16,22.43,4.79,0.84
25.75,86.25,2014,8,15,29.46,1.72,84.16,21.15,5.58,0.82
25.75,86.25,2014,8,16,8.29,2.51,84.78,20.81,6.55,1.32
25.75,86.25,2014,8,17,16.34,2.24,85.75,21.03,6.53,1.63
25.75,86.25,2014,8,18,3.98,2.34,85.38,21.15,5.78,1.53
25.75,86.25,2014,8,19,0.68,2.88,84.66,21.45,6.6,1.35
25.75,86.25,2014,8,20,3.27,1.95,83.19,21.7,6.2,1.33
25.75,86.25,2014,8,21,1.98,1.68,84.88,21.55,4.86,1.56
25.75,86.25,2014,8,22,1.63,1.85,83.22,21.51,6.88,1.23
25.75,86.25,2014,8,23,1.66,2.27,82.62,21.27,7.62,1.42
25.75,86.25,2014,8,24,5.39,3.52,83.53,21.55,8.07,1.59
25.75,86.25,2014,8,25,2.26,2.95,84.91,21.76,7.48,1.57
25.75,86.25,2014,8,26,8.66,2.56,83.09,21.39,8.38,1.25
25.75,86.25,2014,8,27,1.06,2,81.78,20.87,7.47,1.44
25.75,86.25,2014,8,28,0.88,2.59,88.22,20.54,4.26,2.06
25.75,86.25,2014,8,29,1.55,2.46,85.53,21.15,6.65,2.46
25.75,86.25,2014,8,30,1.07,2.13,85.94,21.33,5.18,2.31
25.75,86.25,2014,8,31,5.94,3.91,90,20.32,4.96,1.23
25.75,86.25,2014,9,1,1.72,5.66,92.72,20.48,3.36,1.85
25.75,86.25,2014,9,2,0.54,5.22,86.78,20.2,6.34,2.2
25.75,86.25,2014,9,3,0.04,2.95,85.19,20.66,7.09,2.02
25.75,86.25,2014,9,4,0.77,1.57,81.75,20.81,7.23,1.93
25.75,86.25,2014,9,5,3.67,0.88,79.75,20.78,5.53,1.77
25.75,86.25,2014,9,6,3.67,2.85,86.34,21.03,5.81,2.02
25.75,86.25,2014,9,7,0.51,4.83,84.66,20.72,7.23,1.95
25.75,86.25,2014,9,8,1.48,3.8,84.81,20.32,5.56,2.09
25.75,86.25,2014,9,9,3.34,2.9,85.59,20.72,6.83,1.85
25.75,86.25,2014,9,10,7.69,2.72,87.69,20.84,4.09,1.28
25.75,86.25,2014,9,11,10.96,2.17,89.88,21,4.27,1.08
25.75,86.25,2014,9,12,9.81,2.22,87.69,20.78,6.41,1.63
25.75,86.25,2014,9,13,8.9,1.55,88.69,20.84,4.22,1.29
25.75,86.25,2014,9,14,9.59,3.11,91.34,20.78,4.16,1.26
25.75,86.25,2014,9,15,4.32,3.57,90.97,20.26,3.64,1.53
25.75,86.25,2014,9,16,5.44,1.61,84.56,20.08,6.12,1.84
25.75,86.25,2014,9,17,0.39,0.89,78.59,20.29,7.67,1.75
25.75,86.25,2014,9,18,8.87,1.47,80,21.12,8.16,1.84
25.75,86.25,2014,9,19,26.33,1.82,84.72,21.97,6.02,1.35
25.75,86.25,2014,9,20,25.15,4.26,89.31,20.81,5.04,1.52
25.75,86.25,2014,9,21,28.94,2.52,91.59,20.36,3.79,1.15
25.75,86.25,2014,9,22,5.59,2.68,86.72,19.78,7.07,1.12
25.75,86.25,2014,9,23,6.96,3.06,85.25,18.92,8.54,1.38
25.75,86.25,2014,9,24,3.17,1.95,81.31,19.29,8.2,1.44
25.75,86.25,2014,9,25,5.4,2.21,84.03,19.53,7.01,0.87
25.75,86.25,2014,9,26,5.39,3.37,85.25,18.4,7.88,1.48
25.75,86.25,2014,9,27,3.26,3.32,85.78,18.43,9.49,1.57
25.75,86.25,2014,9,28,1.2,2.48,83.12,18.43,8.96,1.49
25.75,86.25,2014,9,29,1.77,1.88,80.56,17.94,9.3,1.35
25.75,86.25,2014,9,30,0.49,1.52,79.22,17.91,7.89,1.38
25.75,86.25,2014,10,1,0.29,1.3,79.41,17.76,7.8,1.45
25.75,86.25,2014,10,2,0.06,1.8,81.75,17.91,8.36,1.45
25.75,86.25,2014,10,3,0.43,1.9,80.97,18.04,7.96,1.38
25.75,86.25,2014,10,4,0.11,1.43,79.19,17.82,8.05,1.29
25.75,86.25,2014,10,5,0,1.21,79,17.97,8.85,1.34
25.75,86.25,2014,10,6,0.04,1.36,80.41,18.68,8.22,1.53
25.75,86.25,2014,10,7,0.16,1.34,79.91,18.86,7.65,1.62
25.75,86.25,2014,10,8,0.01,1.48,79.72,18.43,7.45,1.6
25.75,86.25,2014,10,9,0.02,1.97,79.5,18.25,8.77,1.55
25.75,86.25,2014,10,10,0,1.96,77.72,17.7,9.41,1.41
25.75,86.25,2014,10,11,0.04,0.88,72.81,16.94,9.24,1.38
25.75,86.25,2014,10,12,4.73,2.9,88.53,18.37,5.66,1
25.75,86.25,2014,10,13,1.13,3.08,90.22,18.13,4.05,1.18
25.75,86.25,2014,10,14,11.14,4.89,86.88,19.1,6.94,1.36
25.75,86.25,2014,10,15,3.8,3.23,84.22,17.7,8.9,1.4
25.75,86.25,2014,10,16,0,3.51,84.34,15.47,9.8,1.52
25.75,86.25,2014,10,17,0,2.88,81.78,14.43,10.87,1.41
25.75,86.25,2014,10,18,0.02,2.8,75.06,12.66,13.06,1.41
25.75,86.25,2014,10,19,0.03,3.23,74.53,11.87,13.82,1.35
25.75,86.25,2014,10,20,0,2.27,72.34,11.54,13.89,1.31
25.75,86.25,2014,10,21,0.01,1.34,65.03,11.35,13.16,1.31
25.75,86.25,2014,10,22,0.01,1.97,71.38,13.09,11.94,1.34
25.75,86.25,2014,10,23,0,2.52,74.88,13.46,11.84,1.29
25.75,86.25,2014,10,24,0,1.43,72.94,13.49,10.79,1.27
25.75,86.25,2014,10,25,0.09,1.32,73.88,13.43,8.31,0.89
25.75,86.25,2014,10,26,2.3,1.95,77.62,13.73,8.26,0.91
25.75,86.25,2014,10,27,2.13,2.23,78,13.52,10.71,1.22
25.75,86.25,2014,10,28,0.08,2.11,76.03,13.03,10.68,1.16
25.75,86.25,2014,10,29,0,2.09,76.47,12.91,11.63,0.92
25.75,86.25,2014,10,30,0,1.7,72.38,12.76,11.09,0.73
25.75,86.25,2014,10,31,0,1.82,73.03,12.79,10.66,1.05
25.75,86.25,2014,11,1,0,2.42,76.47,13.15,12.51,1.16
25.75,86.25,2014,11,2,0,2.43,72.22,11.93,12.98,1.18
25.75,86.25,2014,11,3,0,2.55,68.62,10.5,13.86,1.09
25.75,86.25,2014,11,4,0,2.64,64.78,9.67,15.63,0.96
25.75,86.25,2014,11,5,0,1.95,63.97,9.95,14.18,0.98
25.75,86.25,2014,11,6,0,2.37,67.38,11.05,14.64,1.03
25.75,86.25,2014,11,7,0,2.1,68.19,11.23,14.18,1.21
25.75,86.25,2014,11,8,0,1.7,66.19,11.66,13.58,1.27
25.75,86.25,2014,11,9,0,2.88,70.62,12.15,12.95,1.17
25.75,86.25,2014,11,10,0,2.86,70.97,11.78,13.43,0.88
25.75,86.25,2014,11,11,0,2.85,67.12,11.11,13.52,0.83
25.75,86.25,2014,11,12,0,3.11,61.97,9.37,13.91,0.86
25.75,86.25,2014,11,13,0,3.05,61.28,8.06,16.73,0.98
25.75,86.25,2014,11,14,0,3.18,56.56,7.54,14.27,0.93
25.75,86.25,2014,11,15,0,2.88,56.03,7.23,15.15,0.88
25.75,86.25,2014,11,16,0,2.77,53.31,7.11,13.93,0.78
25.75,86.25,2014,11,17,0,2.92,53.84,6.93,15.55,0.69
25.75,86.25,2014,11,18,0,2.77,57.28,7.2,15.64,0.7
25.75,86.25,2014,11,19,0,2.96,58.91,7.66,15.66,0.71
25.75,86.25,2014,11,20,0,3.2,56.41,6.84,15.03,0.68
25.75,86.25,2014,11,21,0,3.15,57.16,6.84,16.16,0.7
25.75,86.25,2014,11,22,0,2.84,57.62,6.77,16.46,0.66
25.75,86.25,2014,11,23,0,3.19,56.31,6.62,16.31,0.71
25.75,86.25,2014,11,24,0,2.85,54.22,6.35,16.44,0.66
25.75,86.25,2014,11,25,0,2.76,53.69,6.35,16.09,0.65
25.75,86.25,2014,11,26,0,2.98,55.09,6.29,15.73,0.6
25.75,86.25,2014,11,27,0,2.03,53.72,6.38,15.46,0.62
25.75,86.25,2014,11,28,0,2.45,56.28,6.62,14.18,0.53
25.75,86.25,2014,11,29,0,2.02,57.06,6.99,15.52,0.55
25.75,86.25,2014,11,30,0,1.53,58.12,7.69,14.38,0.51
25.75,86.25,2014,12,1,0,2.1,61.41,8.09,14.84,0.6
25.75,86.25,2014,12,2,0,2.34,61.47,7.48,16.45,0.61
25.75,86.25,2014,12,3,0,2.79,58.28,6.9,15.69,0.57
25.75,86.25,2014,12,4,0,2,55.53,6.71,15.5,0.45
25.75,86.25,2014,12,5,0,2.61,59.78,7.35,14.5,0.51
25.75,86.25,2014,12,6,0,3.46,61.16,7.05,14.77,0.33
25.75,86.25,2014,12,7,0,3.13,55.06,5.86,15.62,0.53
25.75,86.25,2014,12,8,0,3.03,55.22,5.89,15.99,0.55
25.75,86.25,2014,12,9,0,3.04,50.62,5.43,15.71,0.45
25.75,86.25,2014,12,10,0,3.48,51.59,5.25,16.4,0.46
25.75,86.25,2014,12,11,0,3.41,52.16,5,15.73,0.46
25.75,86.25,2014,12,12,0.05,1.97,53.75,4.76,16.16,0.55
25.75,86.25,2014,12,13,0,1.68,45.38,4.7,12.45,0.52
25.75,86.25,2014,12,14,0.43,2.04,54.84,6.65,11.57,0.6
25.75,86.25,2014,12,15,0.09,2.53,70.91,9.31,8.82,0.44
25.75,86.25,2014,12,16,1.25,3.55,70.59,8.54,11.45,0.43
25.75,86.25,2014,12,17,0.05,4.25,62.66,6.32,14.68,0.5
25.75,86.25,2014,12,18,0,3.71,58.12,5.25,15.89,0.58
25.75,86.25,2014,12,19,0,2.47,58.72,5.25,16.04,0.62
25.75,86.25,2014,12,20,0,3.3,56.62,5.31,15.6,0.59
25.75,86.25,2014,12,21,0,2.92,55.84,4.91,14.83,0.55
25.75,86.25,2014,12,22,0,2.99,52.25,4.52,16.69,0.44
25.75,86.25,2014,12,23,0,2.85,50.25,4.36,17.2,0.45
25.75,86.25,2014,12,24,0,3.46,49.47,4.27,17.1,0.41
25.75,86.25,2014,12,25,0,3.75,54.34,4.64,16.33,0.3
25.75,86.25,2014,12,26,0,3.61,57,4.79,16.42,0.52
25.75,86.25,2014,12,27,0,3.09,59.72,4.85,16.61,0.55
25.75,86.25,2014,12,28,0,2.77,56.12,4.94,17.58,0.59
25.75,86.25,2014,12,29,0,3.07,53.12,5,16.27,0.61
25.75,86.25,2014,12,30,0,2.32,53.28,5.4,17,0.75
